# left: rho: 1.0; u: 0.0; p: 1000.0
# right: rho: 1.0; u: 0.0; p: 0.01
# gamma = 1.4
# time = 0.012
#          x                   rho                   u                    p                    e          
            0.68359375         0.5750622985          19.59745139          460.8937875          2003.668945
            0.69140625         0.5750622985          19.59745139          460.8937875          2003.668945
            0.69921875         0.5750622985          19.59745139          460.8937875          2003.668945
            0.70703125         0.5750622985          19.59745139          460.8937875          2003.668945
            0.71484375         0.5750622985          19.59745139          460.8937875          2003.668945
            0.72265625         0.5750622985          19.59745139          460.8937875          2003.668945
            0.73046875         0.5750622985          19.59745139          460.8937875          2003.668945
            0.73828125          5.999240705          19.59745139          460.8937875          192.0633836
            0.74609375          5.999240705          19.59745139          460.8937875          192.0633836
            0.75390625          5.999240705          19.59745139          460.8937875          192.0633836
            0.76171875          5.999240705          19.59745139          460.8937875          192.0633836
            0.76953125          5.999240705          19.59745139          460.8937875          192.0633836
            0.77734375          5.999240705          19.59745139          460.8937875          192.0633836
            0.78515625                    1                    0                 0.01                0.025
            0.79296875                    1                    0                 0.01                0.025
            0.80078125                    1                    0                 0.01                0.025
            0.80859375                    1                    0                 0.01                0.025
            0.81640625                    1                    0                 0.01                0.025
            0.82421875                    1                    0                 0.01                0.025
            0.83203125                    1                    0                 0.01                0.025
            0.83984375                    1                    0                 0.01                0.025
            0.84765625                    1                    0                 0.01                0.025
            0.85546875                    1                    0                 0.01                0.025
            0.86328125                    1                    0                 0.01                0.025
            0.87109375                    1                    0                 0.01                0.025
            0.87890625                    1                    0                 0.01                0.025
            0.88671875                    1                    0                 0.01                0.025
            0.89453125                    1                    0                 0.01                0.025
            0.90234375                    1                    0                 0.01                0.025
            0.91015625                    1                    0                 0.01                0.025
            0.91796875                    1                    0                 0.01                0.025
            0.92578125                    1                    0                 0.01                0.025
            0.93359375                    1                    0                 0.01                0.025
            0.94140625                    1                    0                 0.01                0.025
            0.94921875                    1                    0                 0.01                0.025
            0.95703125                    1                    0                 0.01                0.025
            0.96484375                    1                    0                 0.01                0.025
            0.97265625                    1                    0                 0.01                0.025
            0.98046875                    1                    0                 0.01                0.025
            0.98828125                    1                    0                 0.01                0.025
            0.99609375                    1                    0                 0.01                0.025
