# left: rho: 1.0; u: -2.0; p: 0.4
# right: rho: 1.0; u: 2.0; p: 0.4
# gamma = 1.4
# time = 0.15
#          x                   rho                   u                    p                    e          
            0.00390625                    1                   -2                  0.4                    1
            0.01171875                    1                   -2                  0.4                    1
            0.01953125                    1                   -2                  0.4                    1
            0.02734375                    1                   -2                  0.4                    1
            0.03515625                    1                   -2                  0.4                    1
            0.04296875                    1                   -2                  0.4                    1
            0.05078125                    1                   -2                  0.4                    1
            0.05859375                    1                   -2                  0.4                    1
            0.06640625                    1                   -2                  0.4                    1
            0.07421875                    1                   -2                  0.4                    1
            0.08203125                    1                   -2                  0.4                    1
            0.08984375          0.984554546         -1.988369602         0.3913773478         0.9937929528
            0.09765625         0.9285905621         -1.944966824          0.360590236         0.9707998625
            0.10546875         0.8752008931         -1.901564047         0.3319027451         0.9480758866
            0.11328125         0.8242956868         -1.858161269         0.3051941675         0.9256210253
            0.12109375         0.7757872065         -1.814758491         0.2803494123         0.9034352783
            0.12890625         0.7295898059         -1.771355713         0.2572588071         0.8815186458
            0.13671875         0.6856199037         -1.727952936         0.2358179039         0.8598711278
            0.14453125         0.6437959587         -1.684550158         0.2159272909         0.8384927242
            0.15234375         0.6040384441          -1.64114738         0.1974924073          0.817383435
            0.16015625          0.566269823         -1.597744602         0.1804233644         0.7965432603
            0.16796875         0.5304145224         -1.554341824         0.1646347695            0.7759722
            0.17578125         0.4963989087         -1.510939047         0.1500455558         0.7556702542
            0.18359375          0.464151262         -1.467536269         0.1365788153         0.7356374228
            0.19140625         0.4336017512         -1.424133491          0.124161637         0.7158737059
            0.19921875         0.4046824088         -1.380730713         0.1127249492         0.6963791034
            0.20703125         0.3773271053         -1.337327936         0.1022033654         0.6771536154
            0.21484375         0.3514715244         -1.293925158        0.09253503517         0.6581972418
            0.22265625         0.3270531379          -1.25052238        0.08366149861         0.6395099826
            0.23046875         0.3040111799         -1.207119602          0.075527545         0.6210918379
            0.23828125         0.2822866224         -1.163716824        0.06808107547         0.6029428077
            0.24609375         0.2618221493         -1.120314047        0.06127296952         0.5850628918
            0.25390625         0.2425621317         -1.076911269        0.05505695548         0.5674520905
            0.26171875         0.2244526027         -1.033508491        0.04938948474         0.5501104035
            0.26953125         0.2074412319        -0.9901057133        0.04422960973         0.5330378311
            0.27734375         0.1914773004        -0.9467029355        0.03953886565          0.516234373
            0.28515625         0.1765116756        -0.9033001578        0.03528115579         0.4997000295
            0.29296875         0.1624967859          -0.85989738         0.0314226405         0.4834348003
            0.30078125         0.1493865957        -0.8164946022        0.02793162957         0.4674386856
            0.30859375         0.1371365798        -0.7730918244        0.02477847823         0.4517116854
            0.31640625         0.1257036986        -0.7296890466        0.02193548646         0.4362537996
            0.32421875         0.1150463728        -0.6862862689        0.01937680169         0.4210650282
            0.33203125         0.1051244581        -0.6428834911        0.01707832483         0.4061453713
            0.33984375           0.09589922        -0.5994807133        0.01501761949         0.3914948288
            0.34765625         0.0873333086        -0.5560779355         0.0131738244         0.3771134008
            0.35546875        0.07939073351        -0.5126751578        0.01152756903         0.3630010872
            0.36328125        0.07203683857          -0.46927238        0.01006089217         0.3491578881
            0.37109375        0.06523827661        -0.4258696022       0.008757163597         0.3355838034
            0.37890625        0.05896298432        -0.3824668244       0.007601008715         0.3222788332
            0.38671875        0.05318015699        -0.3390640466       0.006578236034         0.3092429774
            0.39453125        0.04786022334        -0.2956612689       0.005675767549          0.296476236
            0.40234375        0.04297482031        -0.2522584911        0.00488157188         0.2839786091
            0.41015625        0.03849676786        -0.2088557133       0.004184600155         0.2717500967
            0.41796875        0.03440004374        -0.1654529355       0.003574724559         0.2597906987
            0.42578125        0.03065975833        -0.1220501578       0.003042679508         0.2481004151
            0.43359375        0.02725212941       -0.07864737998       0.002580005376          0.236679246
            0.44140625        0.02415445697        -0.0352446022       0.002178994735         0.2255271913
            0.44921875        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.45703125        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.46484375        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.47265625        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.48046875        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.48828125        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.49609375        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.50390625        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.51171875        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.51953125        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.52734375        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.53515625        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.54296875        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.55078125        0.02185211821     -4.440892099e-16        0.00189387342         0.2166693181
            0.55859375        0.02415445697         0.0352446022       0.002178994735         0.2255271913
            0.56640625        0.02725212941        0.07864737998       0.002580005376          0.236679246
            0.57421875        0.03065975833         0.1220501578       0.003042679508         0.2481004151
            0.58203125        0.03440004374         0.1654529355       0.003574724559         0.2597906987
            0.58984375        0.03849676786         0.2088557133       0.004184600155         0.2717500967
            0.59765625        0.04297482031         0.2522584911        0.00488157188         0.2839786091
            0.60546875        0.04786022334         0.2956612689       0.005675767549          0.296476236
            0.61328125        0.05318015699         0.3390640466       0.006578236034         0.3092429774
            0.62109375        0.05896298432         0.3824668244       0.007601008715         0.3222788332
